Kecamatan,Padi Sawah (Ha),Produksi Padi Sawah (Ton),Rata-rata Produksi Padi Sawah(Kw/Ha),Padi Ladang (Ha),Produksi Padi Ladang(Ton),Rata-rata Produksi Padi Ladang(Ku/Ha),Tahun,kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten,kemendagri_nama_kabupaten,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,Tahun ,"produksi
","Produksi
",province,production,productivity,harvest_area,year,﻿38 Provinsi,Unnamed: 1,Unnamed: 2,Unnamed: 3,id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,komoditas,produksi,satuan,tahun,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_padi,kode_kecamatan,nama_kecamatan,produktivitas_komoditas,Provinsi,Year,Yield.Areal(ha),Productivity(kw/ha),Production.(ton)
Banjarnegara,1023.0,6548.0,64.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagedongan,275.0,1884.0,68.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigaluh,311.0,2327.0,75.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madukara,1209.0,7858.0,65.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banjarmangu,1496.0,8929.0,60.0,6.0,24.0,41.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanadadi,1414.0,10.0,71.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakit,1561.0,10787.0,69.0,50.0,203.0,41.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punggelan,1989.0,13724.0,69.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karangkobar,331.0,1919.0,58.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagentan,582.0,2831.0,49.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pejawaran,177.0,885.0,50.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batur,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanayasa,88.0,264.0,30.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalibening,1558.0,8607.0,55.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanarum,1084.0,607.0,56.0,0.0,0.0,0.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susukan,2351.0,14959.0,64.0,0.0,0.0,0.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwareja Klampok,1528.0,10338.0,68.0,10.0,41.0,41.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandiraja,2998.0,2292.0,76.0,0.0,0.0,0.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwanegara,2717.0,21112.0,78.0,0.0,0.0,0.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawang,2009.0,13199.0,66.0,0.0,0.0,0.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banjarnegara,886.0,5671.0,64.0,0.0,0.0,0.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagedongan,266.0,1696.0,64.0,0.0,0.0,0.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigaluh,305.0,2215.0,73.0,0.0,0.0,0.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madukara,398.0,2587.0,65.0,0.0,0.0,0.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
